Platform,Topic,Searched Text,URL,Hashtags,Content Type,Publisher,Publication Date,Summary,Perceived Bias,Views,Likes,Comments,Reposts
Twitter,Universal Health Care,Recommended,https://x.com/WHO/status/885179647318732800/photo/1,#UHC #SDG,Text - Photo,World Health Organization (WHO) @WHO,7/12/17,Universal health coverage #UHC is the centre of gravity for efforts to achieve the health targets in the Sustainable Development Goals #SDGs,In-favor,,477,20,488
Twitter,Universal Health Care,Recommended,https://x.com/i/status/982516749940789253,#HealthForAll,Text - Video,World Health Organization (WHO) @WHO,4/7/18,"Universal Health Coverage: -Enables people to make good health decisions -Brings life-saving services to rural communities  -Builds networks to provide affordable, local treatment -Provides more sophisticated services at hospitals  http://bit.ly/WHDHealthForAll #HealthForAll",In-favor,,206,5,172
Twitter,Universal Health Care,Recommended,https://x.com/KatanaSpeaks/status/1869187276640809400,,Text,Hana Katana ⚔️😷🇵🇸🇨🇩🇸🇩🇱🇧 @KatanaSpeaks,12/17/24,Can we please just have universal heath care,In-favor,277,2,0,0
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1870306491099402298,,Text - Video,World Health Organization South-East Asia @WHOSEARO,12/20/24,"Regional Director  @drSaimaWazed emphasizes the core essence of Universal Health Coverage (UHC) - ensuring everyone has access to essential healthcare services they need, without the burden of financial hardship.",In-favor,29700,701,140,62
Twitter,Universal Health Care,Recommended,https://x.com/Pinko69420/status/1866477262620553506/photo/1,,Text - Photo,Lillias Right 🌺 @RightLillias,12/11/24,"I don’t understand how wanting universal heath care… (which is available in many other countries) is radical. It is a basic human right. We have the resources but this much pain, death & debt is a choice.",In-favor,,59,5,4
Twitter,Universal Health Care,Recommended,https://x.com/tax_concerned/status/1791978701501947987/photo/1,,Text - Photo,Concerned American Tax Payer @tax_concerned,5/18/24,"Let's get universal heath care,  first,  show so Christianity, FIRST",In-favor,239,17,1,5
Twitter,Universal Health Care,Recommended,https://x.com/AnnaHorford/status/1752350194736287905,,Text,Anna Horford @AnnaHorford,1/30/24,The richest country on earth can’t provide universal heath care or paid parental leave or affordable childcare or fund k12 schools or pay teachers or provide better public transit or give kids free lunch but it CAN give billions to Israel. The US takes everything & gives nothing,In-favor,9529,74,7,12
Twitter,Universal Health Care,Recommended,https://x.com/historia_pensar/status/1864804770520719784/photo/1,,Text - Photo,Pensar a História @historia_pensar,12/5/24,"Brian Thompson, the CEO of United Health Care (UHC), was shot to death in New York City on Wednesday. He was in town to attend the company's annual shareholders' conference. United Health Care is the largest private health insurance provider in the United States. The company is a subsidiary of United Health Group — the 9th largest company in the world by revenue and the largest in the healthcare industry. The company's revenue reached nearly $300 billion in 2021. UHC manages a huge network of private medical centers and provides a variety of services to the United States government, meeting a substantial portion of the demand generated by health insurance subsidized by programs such as Medicare and Medicaid. The company has been the target of several corruption allegations in recent decades. It has been accused of overcharging in the management of Medicare insurance and of manipulating the prices of health services.UHC has also been heavily criticized in the United States for prioritizing profits over the quality of its customers’ well-being. The company is known for denying or restricting coverage for more expensive medical procedures, leaving patients who suffer from chronic illnesses or need to undergo expensive and complex procedures without care.This could be the motive for the murder of the company's CEO. Police said that bullet casings recovered at the crime scene were inscribed with the words ""deny,"" ""defend"" and ""depose.""It is possible that this is a reference to the book ""Delay, Deny, Defend"" by legal scholar Jay Feinman. The book criticizes UHC and insurance companies that prevent their clients from accessing medical procedures in order to reduce costs and increase profits.",Off-topic,30800,957,57,168
Twitter,Universal Health Care,Recommended,https://x.com/MarcoStp2024/status/1893083610636325049,,Text ,Marco St. @MarcoStp2024,2/22/25,"More importantly, we have now discovered that United Health Care is involved in several cases of fraud and corruption. Atirou is not CEO and has demolished a billionaire scheme.",Off-topic,100000,2400,4,90
Twitter,Universal Health Care,Recommended,https://x.com/WilliamsRuto/status/1806308578464038917/photo/1,,Text - Photo,"William Samoei Ruto, PhD @WilliamsRuto",6/27/24,"Universal Health Coverage is a key promise in our manifesto. The programme aims at ensuring that all Kenyans access free quality health services, including for critical illnesses such as cancer. The government has set up three funds to meet the cost of Universal Health Coverage. These are the Primary Health Care Fund, Social Health Insurance Fund and  Emergency Chronic and Critical Illness Fund. Received a brief on the roll out of UHC from the Ministry of Health officials led by Cabinet Secretary Susan @Nakhumicha_Sand Principal Secretary @muthonikenya",In-favor,1300000,6100,3700,914
Twitter,Universal Health Care,Recommended,https://x.com/MaxontheCoast/status/1709659155500605899/photo/2,,Text - Photo,Keith Maxwell 🇺🇦🇮🇱🇬🇪 @MaxontheCoast,10/4/23,"They have their problems, but our system performs worse that theirs. They have a private option as an escape valve and pressure release. We have the worst performing universal heath-care system in the developed world. This is the most academically cited study on the subject -",Off-topic,56,5,0,1
Twitter,Universal Health Care,Recommended,https://x.com/emaboy28/status/1891415974001123457/photo/1,#HealthSummitKE,Text - Photo,emma-boy @emaboy28,2/17/25,"The Universal Health Coverage (UHC) program is a key pillar of the Kenya Kwanza administration, ensuring every citizen has access to quality healthcare regardless of financial status. #HealthSummitKE UHC for Kenya DP Kithure Kindiki",In-favor,131,0,1,5
Twitter,Universal Health Care,Recommended,https://x.com/Reniec7/status/1893066607024578693,,Text,Reniec @Reniec7,2/22/25,"Here's my opinion on United Healthcare. How does an insurance company produce the profits it does without denying care or overcharging. Answer, it doesn't.  Just like Humana these Medicare Advantage insurers are a racket.  They deny care, yet collect for it on the other side. Healthcare remains a mess.",In-favor,946,4,1,0
Twitter,Universal Health Care,Recommended,https://x.com/WHO/status/807603857132027904/photo/1,#HumanRightsDay #UHC,Text - Photo,World Health Organization (WHO) @WHO,12/10/16,Universal health coverage is a means to promote the right to health http://goo.gl/TSo8ho #HumanRightsDay #UHC,In-favor,,188,10,202
Twitter,Universal Health Care,Recommended,https://x.com/WHO/status/1114481665169137664/photo/1,#HealthForAll  #HealthForAll  #HealthForAll,Text - Photo,World Health Organization (WHO) @WHO,4/6/19,"Universal health coverage is a political choice to strive for equity and justice in health. It means building health systems that put the poorest and most marginalized communities first, leaving no one behind. #HealthForAll  #HealthForAll  #HealthForAll",In-favor,,231,12,121
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1072672617944018944,#UHCDay,Text - Video,World Health Organization (WHO) Western Pacific @WHOWPRO,12/11/18,Today is Universal Health Coverage Day! Universal Health Coverage means that all individuals and communities receive the quality health services 🏥 they need without suffering 💰 hardship. Universal Health Coverage means #HealthForAll. http://bit.ly/2DNKP8N #UHCDay,In-favor,,350,7,286
Twitter,Universal Health Care,Recommended,https://x.com/WHO/status/909503496235503616/photo/1,,Text - Photo,World Health Organization (WHO) @WHO,9/17/17,“Universal Health Coverage means access to health care with full financial protection” — @DrTedros at #SocialGood Summit. #HealthForAll,In-favor,,219,7,163
Twitter,Universal Health Care,Recommended,https://x.com/Squ34ksProfane/status/1870272465441566966,,Text,Squ34ksProfane @Squ34ksProfane,12/20/24,"Question to all from the USA when will yous stop letting a piece of paper written between June 11 and June 28, 1776 run shit for you the only 1st world country to not have universal heath care.  what the fuck do you all vote for??? https://youtube.com/watch?v=bO_3K-hJYvge songs being needed.",In-favor,31,1,0,0
Twitter,Universal Health Care,Recommended,https://x.com/MrGoontastic/status/1854779369710825869,,text,RumandBass @MrGoontastic,11/8/24,Radical left bro w/ a following. A leftist who ppl might say on surface represents so called “toxic masculinity” but says that’s fucking not real while getting down to real issues like fighting universal heath care and fighting for affordable living & wages. Thats what we need rn,In-favor,30,0,0,0
Twitter,Universal Health Care,Recommended,https://x.com/Sugoi_Icon/status/1891420141130252643,#HealthSummitKE,Text - Photo,Stephen 〽️ @Sugoi_Icon,2/17/25,"The Universal Health Coverage (UHC) agenda is a top priority for the Kenya Kwanza administration, ensuring quality healthcare is accessible to all citizens. UHC for Kenya. DP Kithure Kindiki. #HealthSummitKE.",In-favor,42,0,0,1
Twitter,Abortion Laws,Abortion Laws,https://x.com/i/status/926208110821179392,#RT,Text - Video,Lila Rose @LilaGraceRose,11/2/17,"Tragically, abortion is legal in the U.S. not only when a baby's heartbeat can be detected or after they feel pain, but up until birth. #RT",Against,,668,33,484
Twitter,Abortion Laws,Recommended,https://x.com/thequeenkola/status/1892866500077269386/photo/1,,Text - Photo,Queen Kolawole @thequeenkola,2/21/25,"Policymakers: By restricting access to abortion, we can stop women from terminating their pregnancies. Me: LOL, as if. The only thing laws like this decide is whether an abortion will be safe or unsafe. A woman who needs an abortion will get one—whether the law allows it or not.",In-favor,364,19,1,8
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1540381004988309504,,Text - Video,The New York Times @nytimes,6/24/22,The Supreme Court’s decision in Dobbs v. Jackson Women’s Health Organization upended a half-century of precedent on abortion law set in Roe v. Wade. About half the states are expected to ban or further restrict abortions. https://nyti.ms/3NlHZYu,Neutral,,1400,148,1000
Twitter,Abortion Laws,Recommended,https://x.com/IsabelVSpruce/status/1893260964713128178,,Text,Isabel Vaughan-Spruce @IsabelVSpruce,2/22/25,Abortion laws protect women and children. Everyone deserves to have their right to life protected in law.,Against,1219,36,1,10
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1890801485258117229,,Text - Video,Foundation to Abolish Abortion @AbolitionistFAA,2/15/25,The separation of church and state does not mean the separation of God and state. The church and state are separate institutions with separate mandates. But the state must pass and enforce laws in obedience to the one true and living God.,Against,1409,64,3,11
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1892919673164812759,,Text - Video,James David Dickson @downi75,2/21/25,"Law is the devil’s playground It’s why Michigan has an abortion law that Molech would be proud of But what if we talked about LIFE, rather than laws? That women feel guilt about abortion says we still have a common thread of humanity Let’s pull it",Against,2568,120,12,38
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1890489155072762359,,Text - Video,CALL TO ACTIVISM @CalltoActivism,2/14/25,"Ohio lawmakers have introduced a bill that would ban men from ejaculating without the intent to conceive as retribution for abortion laws, imposing fines of up to $10,000 per ejaculation.",Neutral,537200,6100,1300,1600
Twitter,Abortion Laws,Recommended,https://x.com/xxkj_/status/1088438082314096640,,Text,dj beatroot @xxkj_,1/24/19,"the new abortion law means you can abort after 24 weeks if the health of the mother is in serious danger or if the life of the fetus is not viable. it does NOT mean you can waltz into a clinic 30 weeks pregnant and get an abortion because you feel like it. do y’all even read?",Neutral,,4100,11,1400
Twitter,Abortion Laws,Recommended,https://x.com/WassonWatch/status/1893059332993950057,,Text,Wasson Watch Co. @WassonWatch,2/22/25,"AND since abortion is such an awful, life-changing experience for women, wouldn't you want to protect all those women who are forced to have abortions, through laws that would prosecute their abusers with murder??? Or do you wish to protect abusive men from justice?",In-favor,572,29,1,2
Twitter,Abortion Laws,Recommended,https://x.com/LSNCatholic/status/1889693362258636875,,Text,LifeSite Catholic@LSNCatholic,2/12/25,If only bishops were as outraged about abortion as they are about enforcing immigration laws.,Off-topic,4929,594,30,127
Twitter,Abortion Laws,Recommended,https://x.com/actionforlifeFL/status/1890577151826530340,,Text - Photo,ActionForLife @actionforlifeFL,2/14/25,"Over 22,000 lives have been saved by recently enacted pro-life laws across the United States, according to a newly released study from the Journal of the American Medical Association (JAMA). The study underscores the significant role of pro-life policies in reducing abortion rates and protecting unborn children.",Against,3636,71,0,12
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1893054622371086539,,Text - Video,GEORGIA RIGHT TO LIFE (GRTL) @GRTL,2/22/25,"The same laws that protect the born should protect the preborn. ***LEARN MORE about HB-441, the Georgia Prenatal Equal Protection, which seeks to do this, here: https://grtl.org/georgia-hb-441-a-monumental-step-toward-ending-legalized-abortion-in-georgia/",Against,64,8,0,2
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1891876123576865238,,Text - Video,Encounter News @EncounterNewsX,2/18/25,"BREAKING: Scottish police stopped a woman from silently praying outside an abortion facility.  For those slamming VP JD Vance for calling out the UK's bubble zone laws, this is another example of how the UK continues to ban pro-life free speech.",Against,608,5,1,1
Twitter,Abortion Laws,Recommended,https://x.com/JoJoFromJerz/status/1742549899516805144,,Text,Jo @JoJoFromJerz,1/3/24,"By law in the state of Texas, abortion is illegal unless necessary to save the life of the mother. But the 5th circuit just gave hospitals the right to refuse an abortion even if it will save the life of the mother.This sure as shit ain’t about life. It’s 100% about control.",In-favor,280100,12000,660,2700
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1554912717332439041,,Text - Video,A Starting Point @ASP,8/3/22,"Since the Supreme Court overturned Roe v. Wade, 20 states have enacted laws that limit abortion from as soon as 6 weeks post conception. Hear  @RepNancyMace& @RepKimSchrier share their thoughts on abortion rights, contraceptives, & more. 🔗 https://l8r.it/2x9Y",In-favor,,164,9,23
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1892241208702804275,,Text - Video,kathryn samson @KathrynSamsonC4,2/19/25,C4 news were the first broadcasters to arrive at QUEH in Glasgow where anti- abortion protesters gathered this afternoon. This is the first arrest under new buffer zone laws put forward at Holyrood by  @GillianMacMSP Video @luciajwalker,Neutral,1450,3,3,4
Twitter,Abortion Laws,Recommended,https://x.com/i/status/1890440588543090941,#prochoice #antiharassment #backoff,Text - Video,BPAS @BPAS1968,2/14/24,"When we said the US anti-abortion extremists had their sights set on the UK, we really weren't kidding. Across Britain, Parliaments voted for these laws to protect women. We're not backing down. #prochoice #antiharassment #backoff",In-favor,4231,35,5,13
Twitter,Abortion Laws,Recommended,https://x.com/MsMomoManko/status/1397299805274189841,,Text,Birthday Loading…@MsMomoManko,5/25/21,"Texas just passed a bill banning abortion after six weeks regardless of rape or incest, but they also passed a law allowing open-carry without a permit. So feel free to see that as an opportunity to roll up on your  assailant and stand your ground.",In-favor,,193,3,25
Twitter,Abortion Laws,Recommended,https://x.com/KristanHawkins/status/1890076337223921693,,Text,Kristan Hawkins @KristanHawkins,2/13/25,"Imagine what could be accomplished if every ""abolitionist"" (i.e. people who agree that abortion kills an innocent human but try to blow up pro-life laws because they want to see women thrown in jail) would use their trolling time on the internet to attack Planned Parenthood, the abortion lobby, and pro-abortion politicians instead of pro-life people.",In-favor,66200,268,139,61
Twitter,Abortion Laws,Recommended,https://x.com/LiveAction/status/1117632386127282176/photo/1,,Text - Photo,Live Action @LiveAction,4/14/19,"Did you know? Abortion is currently legal under federal law until the moment of birth, for any reason. This is against the will of the people and is anti-science - rejecting the reality that life begins at the moment of fertilization.",Against,,152,8,75
Twitter,Abortion Laws,Recommended,https://x.com/LiveAction/status/1114900131059568643/photo/1,,Text - Photo,Live Action @LiveAction,4/7/19,"Did you know? Abortion is currently legal under federal law until the moment of birth, for any reason. This is against the will of the people and is anti-science - rejecting the reality that life begins at the moment of fertilization.",Against,,110,8,55
Twitter,Abortion Laws,Recommended,https://x.com/CNN/status/1134875518942240769,,Text,CNN @CNN,6/1/19,"Under the bill, pregnant women have the ""fundamental right"" to have an abortion and a ""fertilized egg, embryo, or fetus does not have independent rights."" https://cnn.it/2MBTzoD",Neutral,,5600,257,1000
Twitter,Abortion Laws,Recommended,https://x.com/CampaignLife/status/1890473128532279727,,Text - Video,Campaign Life Coalition @CampaignLife,2/14/25,"In 🇨🇦 Canada, ""bubble zone"" laws unjustly restrict pro-life advocates from peacefully expressing their views near abortion facilities, infringing upon free speech rights. These laws, enacted in British Columbia, Alberta, Ontario, Quebec, Newfoundland & Labrador, Nova Scotia, and most recently in Manitoba, prohibit activities such as peacefully protesting, sidewalk counselling, or simply giving information. WATCH how VP Vance  🇺🇸 calls out the unjust nature of these restrictive measures, emphasizing the need to reevaluate such laws that suppress peaceful advocacy. It's crucial to uphold the fundamental right to free speech and allow open dialogue on life issues.",Against,1800,35,5,13
Twitter,Abortion Laws,Recommended,https://x.com/kelllicopter/status/1129116905850134528,,Text,kelly @kelllicopter,5/16/19,new proposed abortion law now forces expecting mothers to remain pregnant forever because giving birth and allowing the child to exit your womb is a form abortion,Neutral,,1000,3,86
Twitter,Abortion Laws,Recommended,https://x.com/tractorgirly/status/1890843908009038098/photo/1,,Text - Photo,𝒯𝓇𝒶𝒸𝓉𝑜𝓇𝑔𝒾𝓇𝓁𝓎 🇬🇧🚜 💚🤍 @tractorgirly,2/15/25,Except it’s true isn’t it? ,In-favor,2370,256,8,40
Twitter,Abortion Laws,Recommended,https://x.com/RT_com/status/1890210304442921413/photo/1,,Text - Photo,RT @RT_com,2/13/25,"Lawmakers target wasted ejaculations — $10K fine proposed Legislators in Ohio & Mississippi propose making non-procreative ejaculation a crime. Called the “Conception Begins at Erection Act,” the bill satirizes abortion laws, exposing what Democrats call a double standard.",In-favor,15000,69,36,23
Twitter,Abortion Laws,Recommended,https://x.com/GovernorLittle/status/1387131937639346182/photo/1,#IDLeg,Text - Photo,Brad Little @GovernorLittle,4/27/21,"The bill bans abortions after a baby’s heartbeat is detected, around five or six weeks after conception. The legislation makes exceptions for medical emergencies and pregnancies that are the result of rape or incest. #IDLeg",Against,,243,146,100
Twitter,Abortion Laws,Recommended,https://x.com/NPR/status/1540394139564605441/photo/1,,Text - Photo,NPR @NPR,6/24/22,22 states have laws in place that will immediately ban abortions or pave the way to ban — or severely restrict — access to them. Here's a deeper look at what could happen: https://n.pr/39TQT1V,Neutral,,310,37,215
Twitter,Abortion Laws,Recommended,https://x.com/darkxmaga/status/1833786899816911261/photo/1,,Text - Photo,CA_Xian @darkxmaga,9/11/24,Tim Walz signed abortion laws with no limit on term and no intervention if the baby is born alive after an abortion.,Against,11800,258,11,116
Twitter,Abortion Laws,Recommended,https://x.com/TonyLaneNV/status/1893002881785315645/photo/1,,Text - Photo,Tony Lane 🇺🇸 @TonyLaneNV,2/21/25,"🚨 INSANE: 74-Year-Old Woman ARRESTED for Silently Praying Near Abortion Clinic in Scotland! 🚨 Less than a week after VP JD Vance called out the UK’s thought crime laws, a pro-life grandmother has become the first person charged under Scotland’s new “Safe Access Zones” law.💥 Her crime? Silently praying. In shocking footage, she asks police: “Am I committing an offense?” The officer replies: “Yes, I believe you are conducting a silent vigil.” 🔥 This is where we are now. Thoughts? ⬇️ 🇺🇸",Against,1407,53,5,33
Twitter,AI in Hiring Decisions,AI in Hiring Decisions,https://x.com/i/status/1875863276925735255,,Text - Video,el.cine @EHuanglu,1/5/25,"This is incredible..This AI agents can go through your CV, find matching jobs online, and start applying for them on its own.",In-favor,30000,10000,306,1200
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1892607014041534580,,Text - Video,Shruti Mishra @heyshrutimishra,12/20/24,"4/ Automate hiring & candidate screening: Recruiters waste hours reviewing profiles. http://rtrvr.ai scans LinkedIn, GitHub, & Google to:👀 Identify top candidates 📊 Assign a hiring score based on skills & experience 📩 Automate outreach & interview scheduling The fastest way to build an A+ team.",In-favor,994,16,1,1
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1891474455311880398,,Text - Video,Lyzr AI @LyzrAI,2/17/25,"Hiring moves faster with AI. Lyzr's AI Hiring Manager creates job descriptions, screens applicants, schedules interviews, and more—automating the details so you can focus on selecting top talent.  Customizable & integrates with your HRMS.",In-favor,141,2,1,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1833084546985672755,#misterai #AI #web3 #Solana #BusinessInnovation #CareerAdvancement #TechSolutions #AIplatforms #futureofwork #AIIntegration #WorkplaceEvolution,Text - Video,Mister AI @misterai_info,9/9/24,"As #AI continues to evolve, nearly 70% of executives are anticipating significant shifts in job roles over the next #five years. This change is already underway, with a growing emphasis on AI skills and technology expertise becoming crucial in hiring decisions. 🌟 In this rapidly evolving landscape, Mister AI stands as your premier solution for navigating these transformations. Our platform offers a suite of advanced AI tools and integrated services designed to streamline tasks, enhance productivity, and keep you ahead of the curve. Whether you're looking to optimize your workflow, leverage cutting-edge AI technology, or stay competitive in your industry, Mister AI provides the resources and support you need to thrive. Embrace the future of work with confidence and excellence. Discover how Mister AI can empower you to adapt and excel in this dynamic environment. Explore more about our innovative solutions and take the first step towards transforming your career and business today! ⏩ http://misterai.io #misterai #AI #web3 #Solana #BusinessInnovation #CareerAdvancement #TechSolutions #AIplatforms #futureofwork #AIIntegration #WorkplaceEvolution",Off-topic,100,4,0,3
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1835663130862530825,,Text - Video,Hamza Khalid @Whizz_ai,9/16/24,6. Pymetrics It is more like AI HR in your office. It uses neuroscience-based games to evaluate candidates’ traits for unbiased hiring decisions. Skipp HR from your team now!,In-favor,747,12,1,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/DEFI_MARY/status/1891519129963610476/photo/1,#Recruitment5.0 #AIAgents,Text - Photo,"MARYLYN 🦋#WID(✸,✸) @DEFI_MARY",2/17/25,"HIRING IS NOT A JOKE I work in HR, and if there is one thing I know for sure, it’s that recruitment is exhausting. Every day, I go through a mountain of CVs. Some are neatly structured, others are a mess, but the real problem isn’t the formatting, it is the sheer volume. Hundreds of applications for a single role, and I’m expected to pick out the best candidates manually. It’s not just about time, it’s about fairness. No matter how much I try, human bias seeps in. Sometimes, a well-qualified candidate gets overlooked simply because their CV didn’t stand out at first glance. Other times, we hire someone who looks perfect on paper but doesn’t quite fit the role. The system is broken. That was what my friend who works in HR said when I asked her about their recruitment process. #Recruitment5.0 #AIAgents @QubeCV_AI",In-favor,242,10,5,2
Twitter,AI in Hiring Decisions,Recommended,https://x.com/MacTayconsult/status/1891843685601382472/photo/1,#MacTay #talentassessment #graduatetrainee #AI,Text - Photo,MacTay @MacTayconsult,2/18/25,"AI is changing the way organisations approach talent assessment and recruitment. By removing human biases and focusing on the skills and potential that truly matter, AI opens doors to more thoughtful, data-driven decisions. In addition, AI looks beyond the surface: on one hand, it helps hiring teams save time; on the other hand, it predicts how well a candidate will fit into a company’s culture, among other benefits. #MacTay #talentassessment #graduatetrainee #AI",In-favor,78,4,1,1
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1891578366232494427,,Text - Video,Tommy Thomas @0xTommyThomas,2/17/25,Ai Agent Use Case #13 AI-Powered Talent Scout for Hiring ✅ Identifies top talent based on skills and cultural fit.✅ Analyzes candidate success probabilities. ✅ Automates outreach and interview scheduling. Do you think Ai could make better hiring decisions than humans? 🤔,In-favor,251,5,2,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1891077815283380665,#AI #JobSearch #FutureOfWork #Hiring,Text - Video,edu plus now @eduplusnow,2/16/25,AI is transforming hiring! Is your resume AI-ready? ✅ Use ATS-friendly formatting ✅ Optimize for keywords ✅ Quantify achievements ✅ Tailor resumes for each job AI speeds up hiring but poses bias & privacy risks. Are we prepared?  #AI #JobSearch #FutureOfWork #Hiring,In-favor,9,1,0,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1866166305445073064,,Text - Video,GC Cooke @thegrahamcooke,12/9/24,This shift goes beyond clever AI tricks. Companies are now letting AI make hiring decisions. A London School of Economics study found AI hiring systems outperform human recruiters in: • Speed • Fill-rate for positions • Quality of candidates,In-favor,464,3,1,2
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1811157505164100066,#AI #Recruitment #Hiring,Text - Video,AnuPartha @anupartha,7/10/24,"💡 Wondering how AI is reshaping recruitment? In this video, we explore how artificial intelligence is empowering recruiters to make smarter and more efficient hiring decisions. 🎥 Dive into the insights below...#AI #Recruitment #Hiring",In-favor,44,0,0,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/ahyeroba/status/1892586377100833261,,Text,CoachAndeh @ahyeroba,2/20/25,"**Struggling to Attract Top Talent in a Tight Market?**In today's competitive job market, attracting and retaining top talent is more challenging than ever. As organizations strive to stand out, the integration of Artificial Intelligence (AI) in Human Resources (HR) is proving to be a game-changer. AI is not just a buzzword; it's a powerful tool that is revolutionizing talent acquisition, employer branding, and employee retention. As one expert put it, ""AI can help usher in a new era of human resource management, where data analytics, machine learning, and automation can work together to save people time."" **Harnessing AI for Talent Acquisition** AI-driven recruitment tools are transforming the hiring landscape. For instance, platforms like [HireVue](https://hirevue.com) and [Fetcher](https://fetcher.ai) are streamlining the recruitment process by automating initial screenings and sourcing candidates from diverse talent pools. These tools not only save time but also enhance decision-making by matching candidates to job descriptions quickly and accurately. **Actionable Tips for HR Leaders** 1. **Implement AI-Powered Screening Tools**: - Utilize AI-driven applicant tracking systems (ATS) to automate the initial screening process. This allows HR teams to focus on key skills, experience, and qualifications, efficiently filtering out unqualified candidates. Tools like [Workable](https://workable.com) and [iSmartRecruit](https://ismartrecruit.com) offer comprehensive solutions for managing the end-to-end recruitment process. 2. **Leverage Predictive Analytics**- Predictive analytics can be a game-changer in making informed hiring decisions. By predicting candidate success and cultural fit, HR leaders can make data-driven decisions that enhance the quality of hires. Platforms like [Attract AI](https://attract.ai) provide insights into potential candidates across multiple social media platforms, ensuring a broader reach. 3. **Enhance Candidate Engagement**:  - Deploy chatbots and virtual assistants to engage candidates early in the recruitment process. These tools can handle routine questions, schedule interviews, and provide faster responses to applicants, improving the overall candidate experience. This proactive approach not only keeps candidates engaged but also reflects positively on the employer brand. **The Future of HR is Here** The integration of AI in HR is not just a trend; it's a necessity for future-ready HR leaders. By leveraging AI tools, HR teams can make more informed decisions, save time, and create a more engaging and inclusive work environment. As the HR landscape continues to evolve, embracing AI technology will be crucial for staying competitive and building a future-ready workforce. **Let's Connect!** Are you ready to transform your talent strategy with AI? Share your experiences or connect with us to learn more about how AI can revolutionize your HR processes. Together, we can build a more efficient and inclusive future for HR. #AIinHR #HRTech 🤖 --By focusing on these strategies, HR professionals can not only attract top talent but also retain it, ensuring their organizations remain competitive in a rapidly changing market.",In-favor,11,0,0,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/josephfcox/status/1851278175763849405/photo/1,,Text - Photo,Joseph Cox @josephfcox,10/29/24,"New from 404 Media: a leaked presentation shows that doctors in New York’s biggest hospital system are using AI. Edit writing, make hiring decisions, do administrative tasks, and handle patient data https://404media.co/northwell-health-ai-hub-tool-chatgpt-doctors/",Neutral,30000,386,15,156
Twitter,AI in Hiring Decisions,Recommended,https://x.com/mllw_io/status/1892302471277449703/photo/1,,Text - Photo,Mellow @mllw_io,2/19/25,"1. AI-driven hiring 🤖 AI is streamlining recruitment, but it also raises concerns over bias, fairness, and compliance. Companies must proactively audit their AI systems to avoid legal risk",Neutral,9,1,1,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1892064842464321732,#AmbientAGI,Text - Video,THE MAYOR OF IFE @TheMayorOfIfe,2/18/25,"𝐓𝐢𝐫𝐞𝐝 𝐨𝐟 𝐛𝐚𝐛𝐲𝐬𝐢𝐭𝐭𝐢𝐧𝐠 𝐲𝐨𝐮𝐫 𝐀𝐈 𝐚𝐬𝐬𝐢𝐬𝐭𝐚𝐧𝐭𝐬? What if AI could work for you 24/7, making smart decisions on its own - while you earn crypto in your sleep? That's exactly what  @AmbientAgi_ai is building. Think of it as hiring a tireless digital employee who: • Never needs coffee breaks.• Learns from experience.• Makes money for you.• Handles complex tasks across platforms The best part?  You only step in when it really matters. The rest? Pure automation magic. This isn't just another AI project - it's the future of work itself. Let’s explore🔻 #AmbientAGI",In-favor,13000,41,20,19
Twitter,AI in Hiring Decisions,Recommended,https://x.com/i/status/1889358742673571981,,Text - Video,Sufiyan Ishaq @SufiyanSIshaq,2/11/25,"Traditional interviews aren’t always fair—unconscious bias can impact hiring decisions. 😨 But AI is changing the game! In this video, learn how AI-powered interview tools can help create bias-free, skills-focused hiring that ensures the right candidate gets the job.💡 Want to make hiring smarter and fairer? Watch now!",In-favor,189,3,0,0
Twitter,AI in Hiring Decisions,Recommended,https://x.com/Karp_God/status/1881663117731742119/photo/1,,Text - Photo,KARPGOD @Karp_God,1/21/25,"Alex Karp, CEO of Palantir, has led $PLTR to be the leading provider of data analytics and Ai software for government agencies and US 🇺🇸 commercial. Karp’s unique leadership style includes unconventional hiring practices, such as making decisions in less than two minutes.  Lfg.",In-favor,3100,84,4,5
